Message,Availability,Payment,Attraction (Experiences),Facility,House Rules,Location,Discount,Contact Host,Others
"Hi there! I am inquiring about a room available in your establishment for 12/27/15-1/2/15. Is there availability? Where about in the beach road are you located? Do the rooms have air conditioning? Private bathrooms/showers? Thanks so much!Cheers,Leighann",1,,1,1,,,,,
"HiIs your room for a month rent still available? Or maybe for long term, 1BR 1500/mos right? +-- ---- ---- is my number",1,1,,,,,,,
"Hi Mike, this is Anurag and I am from India. I am planning to visit Singapore between 15th March and 25th March along with my wife and 2 kids ( 7 year and 2 year old ) let me know the availability and the total charges for 10 days including any taxes if any.",1,1,,,,,,,
HiWanted to book this including a chef for all meals while we stay there and also a nanny to help with the kids. And need three baby beds.,1,,,1,,,,,
"Hello Vix,Trust things are fine at your end.I am travelling on 23/12/+-- ---- ----/12/2015 with family & friends for a leisure in Pattaya. I am looking for 3 bedroom & a private pool villa.Kindly let me know if the dates are free in La Ville Pool Villa.Regards,Prakrit.+-- ---- ----.",1,,,1,,,,,
Hello. I am joy. The masters room can accomodate 6 pax right? Can view the room?,,,,,1,,,1,
"Hi, Can I rent the whole house? And how much for the whole house? Thanks i'm looking forward for your reply -----@-----.---",1,1,,,,,,,
How long time to going kuta beach? Can i get ur number?,,,1,,,,,1,
"Hi, I am Janice, contact no +-- ---- ----, we have about 12 adults and 4 children, want to check in on 09 January 2016 and check out on 12 January 2016, can I check the availability?",1,,,,,,,1,
"Hi,I have interested on your house but my flight reach Haneda Aiport about 10.30p.m. I am not sure is that have any transport to your house on that time. Kindly advise.", ,,1,,,,,,
"kindly confirm availability for 4 persons, from the 20 to 25 October more 1 adult from the 22 to 23 Octoberitalian family from Milan.-----@-----.---",1,,,,,,,,
"Brian, my name is Douglas Winget. My family is my wife Bel, 2 boys 8 years old and myself. We live in the Philippines permanently, yet we will be traveling on our USA American) passports.April and May are the end of school year break for us. My sons have been taking Mandarin Chinese language lessons.Our purposes in visiting Taiwan are to enjoy the many Chinese cultures represented in Taiwan. We want to become familiar with Taipei and also see mountains, tea plantations, temples and other cultural sights.Besides being our host in Taipei, we hope you will advise us on on how to make the whole vacation very meaningful for our family. We hope to hear from you soon. Thank you, Douglas.",1,,,,,,,,
Hi i would like to ask you the location of the apartment which floor and is it near the marina walk and can i pay when i arrive there and how much deposit u want, ,1,,1,,1,,,
I'm interested to know more about this adv. Can u contact me at +-- ---- ---- Michael., ,,,,,,,1,
"Hello, My husband and I are going to be visiting Australia from February +-- ---- ----. Your place looks beautiful and we are very interested. Is it possible that you could tell me the total price for the 9 days we are there. I understand that there is a cleaning fee could you also confirm how much that is. We are from Canada and have been to Sydney previously and visited Bondi Beach but this visit we are hoping to stay right there. Thanks so much for your quick response. Deanne", ,1,,,,,,,
"Hello , I, d like to know prices for the days selected . We are 4 women aged 60 .please let me know the payment policy .I wait for your replay as soon as you can .Regards Olga", ,1,,,,,,,
"Hello,I am looking for a place to stay minimum of 3 nights with my boyfriend. I was wondering if you have availability and perhaps a picture of the inside?Kind regards, Marieke",1,,,,,,,,
"Hi Jay, Is there any way to contact you by phone #?We are in the US, and is planning our trip to Taiwan.We have a group of people like to book your place.Feb. 28 to March 1, for 2 nights.We need 3 rooms. Two room with 2 beds (for 4 singles), and one room w one Q size bed.March 5 to March 7, for 2 nights.We need 3 rooms. Two room with 2 beds (for 4 singles), and one room w one Q size bed.March 13 to March 16, for 3 nights.One room with 2 beds (for 2 singles)March 13 to March 22, for 9 days.Thank you!Frances",1,,,,,,,,
"Hi Dianne,Hope you're having a great day. I just wanted to inquire if my preferred date is still available. Also, about 4 people will stay the night while some of friends are only going to be here the whole day for our simple gathering together with their kids. About 6-8 kids aged 0-8 are expected to come. Total pax roughly around 20pax (including kids).Please advise if your place can accomodate us. We just wanted a decent and safe place to stay considering we have 2 infants joining.Thanks and hope to hear from you soon :)Best regards,Che",1,,,,,,,,
"Hi, this is Ziv lee form Hong Kong.I will go together with 2 friends, and this is our first time to Japan also.We would like to plan a travel visit to Osaka from 21/Nov to 22/Nov.We just checked the room available in this online website, and it looks beautiful and good to us.Would you please help to check and advise the room available in this period?We would like to inquiry this room reservation method.1) We need to share the apartment to other people?2) We need to share the bathroom to other people?3) Any pet in your apartment?Looking forward to hear your good news.Thank you very much!",1,,,,1,,,,
Hello!We are turist from Poland.We would like to stay 2 nights in Osaka (09-11. October). We would like to book private room for two pepole. How much it will be costs? Thank You for answer.,1,1,,,,,,,
Please specify the cost during this period!,,1,,,,,,,
May I know the walking distance from XiMenDing to appartment?Is the additional person charges included bed?,,1,,,,,,,
"Hi This is raja shekar , i want ti visit your hotel for 1 2 day before that i want to talk to you so please get in contant on my no +-- ---- ----",,,,,1,,,1,
I'm the organiser for the group.We need villas for 24-28 people with communal areas for meetings.,1,,,,,,,,
"My husband and I re traveling there and we are interested in stay there, but would like to know if the dates are available? how much is the total and what do we need to do to book it. thank you,Michele.",1,1,,,,,,,
"Dear Divine, We are looking for a place for Sat Oct 10 for 1 night. Is your place available? I am traveling with my husband and my 33 year old son who has a 2 year old. My husband and I are math professor from connecticut. My son teaches english in Massachusetts. We are in town for the wedding of a friend. Your place looks awesome, and I love the location. Feel free to call on the phone if you would rather that than email. +-- ---- ----Thanks, June Decker -----@-----.---",1,,,,,,,,
"Dear whom all concern My Name is suriya Saktanawat from Thailand . I working at Fuji Tusco Switch board in Position Production Manager. (We are branch of Fuji Electric in Thailand) On Mar 26'16 to Apr 4'16 my family plan to travel in tokyo. And now I look for hotel. In this trip we are total 9 peoples . 6 Adult 2 Junior school (Boys 14 Year) and 1 girl (7 years) . Are you have room for our?. Your Apartment is beautiful , big and clean. and my my family very lite it. My Fight is DL284 SAT 26 Mar BKK (07.05AM) > NRT (3.05PM)and return DL283 Mon 4 Apr NRT (4.00PM) > BKK (9.05PM)Please offer your proposal to me at email -----@-----.--- , -----@-----.--- , -----@-----.---for -----@-----.--- is business email . I can check only working day. , Please cc to -----@-----.--- for easy to continue communication.My ------- suriya saktanawatId Line : tu0166Mobile : +-- ---- ----Your understanding and cooperation would be appreciated. I hope your to confirm booking as soon as possible.Thank you & Best Regards ,Mr.Suriya SaktanawatProduction Division ManagerFuji Tusco Switchboard Co. Ltd.Tel :+-- ---- ---- , +-- ---- ---- Ext.3118Fax :+-- ---- ----Mobile : +-- ---- ----Website : -------.---Email : -----@-----.--- , -----@-----.---",1,1,,,,,,,
"Subject: Month Long Villa Rental 1 or 2 bedroom Beginning 3 September 2015Hello,I am interested in a month long rental beginning 3 September 2015 for at least one month for one person. 1 or 2 bedroom is fine. Could you please kindly tell me your monthly rate?Thanks,AJ-----@-----.---",1,1,,,,,,,
"This is a family outing, mother, children and 2 grandchildren. I would like to request the exact address, floorplan including bed sizes to better plan sleeping arrangements (and how the fourth bathroom will be shared.) Thanks.", ,,,1,,,,,
"Hi, we are 4 friends and coming to Dubai from 1 /12 to 7/12 is there enough beds for four persons.",,,,1,,,,,
May i know your apartment to somerset mrt is it walking distance?,,,1,,,,,,
"Hi! My parents and and sister is coming to visit me here for from dec 18-jan5, 2016. I only stay nearby Aljunied too and would like to know whether they could rent the room during this period? if not, dec 24-27 would also be fine. I hope you can give me a good price. Thank you.",1,1,,,,,,,
Checking availability for 9/22-9/25 as well as deposit and cleaning fee rates. If available we would like to reverse as soon as possible. Thanks!,1,1,,,,,,,
"Hi, I am visiting with my family (total of 6) from New Zealand and would like to stay at Kyoto for 3 days, just want to see if your house is available at that time and also what kind of bedding arrangement do you have? and do you have parking?thanks",1,,,,,,,,
HelloWe are a group of six adult French.We would like to know if your house to rent is available from 16 till 23 August.Thank you .RegardsGwendoline,1,,,,,,,,
Hi JanetAre you able to post photo of outside of the building?Thanks. Henry,,,,,1,,,,
how can i contact you for faster transaction?,,,,,,,,1,
"Hi There,We are young family relocating from London to Sydney, and looking somewhere to stay 3-5 weeks till we find accommodation for long term. Our jobs located in North Sydney area and your little studio would suit as most.Could you please advise on the flats availability from 21 of February? Could you please contact me on -----@-----.---  Vladas Genys",1,,,,,,,,
I interested to rent your appt on the date above can you get back to me please and where is it located.VRBO listing +-- ---- ----ha,1,,,,,,,,
"Hy , We are looking for a rent during August and me and my friends find you apartment we wanted to know if you can do a price for us Thank you", ,1,,,,,,,
Greetings!How much would you charge for a 10day stay? Thanks very much and looking forward to hearing from you.,,1,,,,,,,
"What would the rate be for the requested dates? Thank you, Judy",,1,,,,,,,
"Hello good pm, is this near to taal vista hotel po? Will be attending a wedding, photoshoot will be in taal vista for us na member ng entourage kasi, And how much po for 15pax?", ,1,,,,,,,
"Dear Vaishnavi,Greetings from Dream Works Travel & Tours!!!I'm looking to hire service apartment in the month of January 2016 from the 20-Jan-16 to 25-Jan-16 for my client who are planning to attend the conference at Codissia Trade Fair Complex.Hence, I am humbly requesting you to email me your Tariff along with the commission structure i.e. TAC (Travel Agent Commission) Looking forward to hearing from you.Kind Regards,Hemant Bhupen DesaiDream Works Travel & Tours",1,,,,,,,,
HelloYour apartment looks beautiful. We will be visiting our daughter who will be studying at Tel Aviv University. We are looking for an apartment for approximately 10 days Are you near the University? On the beach? Can you tell us anything else about your apartment? Looking forward to hearing from youLaurie Chefitz,1,,1,,,,,,
"Hi, need to know location of said property as we need to commute to work when in SG. Also, if we book for the month, would the rate be better?Cheers", ,1,,,,,,,
My daughter is currently completing her PHD in Shanghai and I would like to rent this apartment for her for 3 months October-December. Would the apartment be available for an extended stay? What would be the monthly rate and what additional charges would be involved? Thank you for your assistance.,1,1,,,,,,,
"Hello,Is your apartment available during these dates?Is the price the same?Sherri",,1,,,,,,,
"hi Lily, i'm Debora, me and my mom are indonesian chinese are goin to travel to Singapore on 23rd to 25th august, as my mom is 60yrs old wondering if the building any staircase? and only min 3 nights stay ya? as we need only for 2 nights, thanks",1,,,,,,,,
Hi James may I know if the house is wheelchair friendly as my mom is wheelchair bound? Thanks to let me know so I can decide.Kind regards, ,,,1,,,,,
What do you have for parking at your location? We will be in Chicago tomorrow night. would your room be available? If so me and my husband would love to stay. We are from Utah and it's our anniversary!,1,,,,,,,,
"Hello,We are planning to visit miami from 4/20 to 4/24 and are 3 young couple with 4 children. Let me know what is the best total amount you can do for this property to rent for 4 nights.Thanks,Amit",1,1,,,,,,,
Do u have other apartment in ximending. Sorry I just found out that this is not ximending. Sorry for tgat,1,,,,,,,,
"Good day! Going to visit Montenegro with my family - husband and 3 children. Tell me, how far is it from the sea is your apartment? Convenient if I will with children 4,6, and 8 years?", ,,1,,,,,,
We are very interested in booking your apartment. We are a group of six adults in our mid 50's. There may be another couple joining us but we will not know until a later date. Can we contact you at that time to inform you and pay the extra? Also does the apartment building have a name for reference purposes? A street address would also be helpful. Our flights arrive at 8:00 pm so it would be a late check-in.,1,1,,,,,,,
"hi! my name is Nathania, and I would like to book your apartment. My family is coming to Taiwan for holiday from 8th February to 13th February. Can I know what floor is the apartment and is there any lift? I am a student in Taiwan, is there any chance for me to look at your apartment first before booking it? Sorry for the trouble, Thank you in advance.", ,,,,,,,,
"Hello,a family of 7 would like to stay in your apartment for 4 nights in August , from Tuesday 30 August to Saturday, September 3 .You advertise sleeps 10 in your description , I count 5 on the pictures. Can you describe the capacity of each room and please confirm that the air conditioner is central?Thank youAS HoffmannTravel agent, Montréal, Canada.", ,,,1,,,,,
I am struggling to find a home for myself mother and two sons until Sept 1st can u please tell me how much it would cost me to stay in your sweet little home for two weeks maybe longer . will not know until Sept how long I will need the property. Please contact me stAt +-- ---- ----Ask for Tammy, ,1,,,,,,,
"hi, please send details abot this house thanks",,,,,,,,,1
"Hi Nuno, I'm traveling with 4 other friends and am looking for a 5-bedroom villa set-up in Pattaya, the dates are Saturday 25th July to Monday the 27th. We are all professional 40-somethings (finance, tech, design). I saw this listing and it looks great but I noticed that your calendar hasn't been updated in awhile. Is it available? Do you have other properties that are similar in location/price/niceness?",1,,,,,,,,
"Hi good day, Can a ask if the kids age 3 and 5years old is free for stay at your apt. Thanks so much & also can i get your number so i can call you for more dtailsThanks Im trveling with my family 4 adults 2 kids", , ,,,,,,1,
like to check out feb 13,1,,,,,,,,
"I would like to rent the two bedroom home, but i have 6 person, can you provide extra single bed?",1,,,1,,,,,
"Dear Alvin, i want to ask is it possible if i rent this unit on 18 july until 25 july?And i pay this in Rupiah or in SGD?",1,1,,,,,,,
Your listing is under a 3 bedroom listing but your description states it is a 2 bedroom and there is also no other pictures other then the master bedroom. Also explain your bed layout in each bedroom. Thank you. (AT236), ,,,,1,,,,
"SIR, WE ARE PLANNING GOA IN MAYPLS SEND ME RENT DETAILS",,1,,,,,,,
"I am booking for my brother in law from China, he and his wife (mid 60 both) spend holiday in Singapore. would like to view the place first before we commit to you. can ? thanks Philip Yu can contace me$98363167",1,,,,,,,,
"Hi po good day !!I am Victorie and I'm looking a place to stay for me and my family during our church annual gathering that would be held in SMX from December 21 to 24, 2016 and I saw your advisement for your condo unit. I just wanted to know if is there any restrictions for this advertisement like the maximum person that can stay in your unit, DO's and DON'T's, etc.Here is my mobile number +-- ---- ---- in case you need it and for faster communication. I am looking forward for your response. Thank you very much. Godbless.", ,,,,1,,,1,
"Hello good day, I am interested in booking this place. Is it easy to get a taxi around this area?",1,,1,,,,,,
hiwe are planning to visit kyoto from 27 to 29 oct and would very much like to stay in your apartment! please can you confirm it is available on these dates.Kind regardsAntonia,1,,,,,,,,
Hi! We are thinking of coming to Bali from October 31st to November 7th or maybe 8th. Just want to make sure the house is still available for those dates. Also just wondering how far the drive is from the airport?,1,,1,,,,,,
"Greetings. I would like to know if the apartment in Hamoshava is available Nov. 18-26 for my wife and myself. Is there parking available? How far is (walking) from my father - Rechov Beruriya 11?Thank you.kol tuv,Samuel Kosofsky",1,,1,,,,,,
"Hi , i just wanna ask if u charge kids as well since we will be travelling as 5 adults and 3 kids ages 2-5-6. Hope to hear from u. Thank You",,1,,,,,,,
"Hi, my friend and I are planing a 6days 5 nights trip in Tokyo and wonder if there's room available from 30th Dec to 4Th Jan. We are clean, tidy, friendly young people. Please kindly reply, thanks",1,,,,,,,,
"Dear host , we are 2 guests planning to stay in singapore, we've been trying to book your APT through travel mob, tried several times but cannot proceed, is there any other options to contact with you and proceed the booking? Thank you Ganchimeg", ,,,,,,,1,
Dear Sir.I would like to hear if we can rent the house.We are travel agency.. but its to our own family. - we make business in Dubai already. looking forward to hear from you.kindly charlotte,1,,,,,,,,
corporate requirement,,,,,,,,,1
hi! im rach and interested to rent on may 30- june 6 it is my first time in singapore i just want to know the direction to get there from airportand ill if the kitchen is a common area or not and do u have a stovethank you,1,,1,,,,,,
I have 7 adult with 2 children and 2 infant.could you please send me your contact no please.,,,,,,,,1,
"Dear Ketan, I am interested in booking the Delhi Apartment listed as Affordable and the best house, priced at 1,416 rupees per night for 3 guests.Is the apartment available from October 13th to October +-- ---- ---- (3 Nights)?Thank YouBecky",1,,,,,,,,
Would it be possible to see the home prior to us making the reservation?,,,,,1,,,,
Hi There. My husband and I will be in London for a conference and are looking at a place to rent after the conference. Your place looks great but we would want to know if it's near a tube station or a bus stop since we will be having luggage with us., ,,1,,,,,,
"Hello,There are three of us on a three week holiday to japan with one week in Kyoto and two weeks in Tokyo 3rd April - 23 April. I would be interested in booking this property for our two weeks in Tokyo (10/04/16 - 23/04/15). Just want to verify it will be available to book (it says on the page, not yet available) and what details etc you will require on booking (passport scans etc).Look forward to hearing from you.Many thanks,Oliver",1,,,,,,,,
"Hello Gennady! Tomorrow I will be in Moscow and I need a flat for some days. I see your price and I agree. If you are a good Host and simply good man. I have no much time to choose another flats because I will be in Moscow tomorrow. Help me please, if you are here. P.S. Do you have another photos of your flat? Thank you.",1,,,,1,,,,
"Hello, I am looking for an apartment for my two colleagues and I am interested in your apartment in Makati. Could you possibly give us a good rate per month? Thank you, Kathryn", , ,,,,,1,,
"HI,We are group of 10 people i.e. 5 adults and 5 children..Was looking for a villa option to accomodate us all economically. only preference is to be at the beach side/viewplease suggest.RegardsNamrata", ,,1,,,,,,
"HI! I am wondering with our vacation time frame, if spring break is at same time over there? (maybe can you tell me when spring break is over there also?) I have a 2yr old with a lot of sensory issues and other young children...and we need to be sure of no crazy parties and if this home is a walk to the beach? my son dosent handle car rides well. we really need this to work...its been hard family times here..thanks,Heather :)", ,,1,,1,,,,
"HI there,Just wanting to check availability for the weekend.Small group of us heading over to Sydney for the weekend. Basically looking for somewhere to sleep as we have a full on weekend planned around Sydney and are wanting to stay away from hotels and hostels. Please let me know how that weekend looks for you and look forward to hearing from you soon.Labroye",1,,,,,,,,
Details requested.. How far from beach? And all details related to facilities,,,,1,,,,,
"Do this apartment have a tv? i am looking at the pictures but I do not see a tv,",1,,,,,,,,
"Hey, we r looking for 10/19~24 please kindly check if there's room available. Thank you",1,,,,,,,,
"Good afternoon,I emailed yesterday asking about your availability for Dec 24-27. I really need to know as soon as possible if your home is available. I found another potential listing for us but we really prefer yours. I need to let them know by 5pm (4pm CST) if I'm taking their apartment.Thanks,Amy Emanuel",1,,,,,,,,
"Hi, may I know is the unit available from 29th-30th Aug?",1,,,,,,,,
Hi could you quote please on above dates if available.,,1,,,,,,,
"HiI would like to rent tid appartment from tommorow, its that posible. You can contact me at +-- ---- ----. Thank you.",1,,,,,,,,
Hey this is a shared pool right ? We'll be arriving in Goa at 620am .. Is it possible to check in by 7am ?,,,,,1,,,,
Good day!Is the room available on Aug 7-9 for two people? We are for short term rent only,1,,,,,,,,
"Hi,Didnt get any response on my previous inquiry.Is the unit available during the period?Regards, Andreas",1,,,,,,,,
"Hi, I'm Eko. I'm from Indonesia and plan to spend this weekend with my wife and 4 yo daughter.Your property looks like the one that we're looking for, but I'm still wonder if it's okay for you if we stay with my little daughter.Hope to hear from you soon.Thanks.", ,,,,1,,,,
Hi I'm looking at renting this property but was wondering if it comes with a driver included in the cost. Also is house cleaning included? And how far is the drive to Kuta from our villa?Thanks, ,1,1,,,,,,
"Hi Danny, Just wondering if you would offer a discount if we are staying for 7 nights? Thanks, Wei",,1,,,,,,,
Hi - is the apartment a available for the days marked - how much will it cost in total?,1,1,,,,,,,
"Hello, how are you?I would like to stay in this apartment in November. I am a 25 year old Australian tourist coming to Japan for the first time.I would like to know the total cost including any extra fee for the dates i want to stay. I would also like to know that the apartment is completely private and not shared with anyone. any other important details are welcome too.Thanks very much for your time. looking forward to hear from you :)Regards,Daniel Frost.",1,1,,,,,,,
How to contact u? We are already at grandlink square.,,,,,,,,1,
"Hi roxy, I was wondering if you have this apartment available from Nov 8th to Nov 20th? I'm very familiar with this area, i used to live very close by. Thank you,-Nicolas Cadena",1,,,,,,,,
"Hi Mr.Ham,My name is Dian from Jakarta, Indonesia.I am going with my Mom.Can I have the room detail photo so I can show her the photo.",,,,,1,,,,
"Hi Deborah,My husband and I need these dates for my surgery at Cedars. Would you consider a discounted rate for 20 days? Is there a workout facility nearby. Are there any stairs? Is a quiet location?Best regards,Margaret Rose",1,1,,,,,,,
"I am interesting in this house and i want to ask you some question, is this the actual price and how far is the hotel from the airport please give me more detail about this and please give me the answer as soon as possible. Thank you",,1,,,,,,,
Is there a car park available?,,,,1,,,,,
"HelloI am relocating to Melbourne from the UK and land the morning of 6 August 2015.I would like to stay in studio serviced apartment for 4 weeks with the opportunity to extend this , as want to get to know the areas of Melbourne before I move into my own place.I will be getting to work via southern cross station so need to be available to get her easily.Please can you inform me of rates per night and extra costs (wifi, cleaning, etc) and if you have availability for the above dates",1,1,,,,,,,
"hi i have just booked a listing u, do u have any contact number which i can contact u directly. me n my family are having a vacation during this cny, looking for a place urgently.hope to hear from u soon.thx u",,,,,,,,1,
Hi we are 5 mature aged (50 - 60) persons looking to stay in Cyprus for a few days in October. Will your apartment be available for us to use on the dates 20 October to 23 October.,1,,,,,,,,
Can i know the apartment name? Is it confirm on 21st nov the room is available?it is easy if you can contact me at +-- ---- ----,1,,,,,,,,
Hi. I am planning to visit KL in March with my children and grandchildren. I would like to know if we will be given access to the pool during our stay. Also is the place accessible to public transportation like bus and train?,,,1,,,,,,
"Hi Kunal , lovely looking apartment , wanted to check if the avg price being shown here is what would apply as well if i was to book for 2-3 months ? Also details with respect to parking , food etc would be appreciated and lastly what would be the travel time to Golf course road - that is where my office would be.Thanks.",,1,1,,,,,,
Hi My name is Shital and I am looking at a villa for my bosses from 26th December till 2nd JanuaryCan i possibly come and have a look at the villa ?My number is +-- ---- ----,1,,,,,,,,
"i would like to book and pay on cash the given dates with this package/offer from home away, (http://www.homeaway.com.ph/vacation-rentals/philippines/metro-manila/para%C3%B1aque/tm-TC4NNKwvSgQ?ch_in=12%2F27%2F2015&ch_out=12%2F28%2F2015&next=2&oq=Para%C3%B1aque%2C+Ncr%2C+Philippines&people=2&query=Philippines%2FMetro+Manila%2FPara%C3%B1aque)looking forward for your quick response.thank you,",1,1,,,,,,,
I'm not quiet sure how many people are coming I'm just curious if I am allowed to throw a party in the house and is noise going to be a problem with the neighbours around,,,,,1,,,,
"I am interested in renting your apartment from Saturday 12 December through Saturday 2 January 2016. We land in Paris around 7:30pm and could arrive by 9:00pm. I will be travelling with my son who will be attending French language school in the area. Could I please confirm if there are any extra charges I should expect e.g. Internet, cleaning, heating etc? or are all these included in the rental rate. Also please confirm abailability of internet, wired or wireless Thank you",1,1,,,,,,,
How would be my total payment to peso?,,1,,,,,,,
Hi there I would like to make a booking on the above dates. Is inclusive of breakfast? I need a ride . Please tell me what else I can for 2 day. Thanks Rajesh,1,,,,,,,,
Hi Daniel!My name is Laurice. I'm from Brazil.I've already bought the plane tickets to go there on February. I'll get there on the 8th of February and I'll leave on the 27th.I've seen your apartment and I'm in love with it.I lived in Cromer Heights in 2001 and I've seen on the map that your apartment is perfect located.There's only one problem... I've just applied for the australian visa and it will take about a month for the embassy to return. Is this strict cancellation unmarketable? I don't want to miss this opportunity.Laurice,1,,,,,,,,
is this family room still available on the dates above?what is the rate for the date?,1,1,,,,,,,
I am interested in booking your place. Is it available on my travel dates?,1,,,,,,,,
"hello .. interested .. can i have your umber for any further info , thanks :)",,,,,,,,1,
"Hi,Could you please tell me the name of the of Hotel that this lovely 1bedroom suite is.Many Thanks Susan",,,,,,1,,,
Hi Thank you for you quick responses to my previous enquiries. I have had a look at this apartment after your advice. Are you able to advise of the full costs involved for this one as we had dismissed it before when we were looking due to our budget. Are you aware of how much building work is still happening at the Live your Dream apartment around when we were planning on staying ?Many thanks again for your helpChantel, ,1,,,,,,,
Please give ur contact no.,,,,,,,,1,
"Hi, me and my boyfriend will be arriving on the 29th at 7 am. will it possible to rent the place? if yes, How much all in all and how to pay?thank you. Riana",1,1,,,,,,,
"Dear sir ,I am from Kathmandu nepal, I need a double bed room with some sort of sharing kitchen for a month or more could you pls let me know the lowest price. ThanksRegardsKedar", ,1,,,,,,,
How much exactly is the entire unit of 4 rooms,,1,,,,,,,
Is the price pre week or night? Would you be able to do a deal on this long stay for 4 people? I look forward to your reply.Kind regards Anna,,1,,,,,,,
Explore Penang with family,,,,,,,,,1
"Hi Guo, greetings from Indonesia.My name is Eldwin, me and my friend need a room to stay in Singapore start from 20 until 23 Jan 2016.We come to Singapore to attend Art Stage, that will be held at Marina Bay.Is your place available at that time?Looking forward to your answer.Best regardsEldwin",1,,,,,,,,
Can i to pay in hands?,,1,,,,,,,
helloI am looking for a three bed apartment for 5 adults 2 doubles & one single plus cot for 16 month old baby. for seven nights.Please could you tell me how near the beach the apartment is and walking to the Dan Panama hotel and is there any parking on site.,1,1,1,,,,,,
"hi，how are you？We have two people Friday will arrive in Sydney this week, wanted to rent a room for two days, I ask you?",1,,,,,,,,
Hi Ms Jonalyn.. I would like to inquire if the place is available on the said dates. I will be traveling with my family. Is it possible to contact you thru a cellphone? Thank you!,1,,,,,,,1,
Booking for our wedding guests staying for 3 nights. we want to view the place before making the reservation. Please get in rouch with me at +-- ---- ----. - Gel Mandal,1, ,,,,,,1,
"Hello Prachi,We are total 8 and planning to come in dates 19th,Dec - 22nd,Dec or from 24th Dec to 29th Dec, can you please share the quotation for the mentioned dates for 8 membersThanks",1,1,,,,,,,
"Hello, my name is Jenny and I'm wondering if this unit is available from 1st of January until the 4th?Thanks and best regards, Jenny",1,,,,,,,,
"Hello, my name is Calvin Henson and I am wanting to book your room for the 15-20th of March. If approved I will make the payment in full tomorrow. Thank you,Looking forward to hearing from you soon.",1,,,,,,,,
"Hello ,Please can you give us your contact number - we are coming from India and would like to stay in JBR-Guest Room1 with sep Bath -SDF8 for 4 nights in the month of Jan . We are 3 of us .Or Please call me on +-- ---- ---- .Thank youAwaiting your response at the earliest",1,,,,,,,1,
"Hello, Im french girl, I Actually living in Shin Okubo, Im gonna leave Japan for one month and Im looking for a house for my back the december 10th. I saw your room and im very intérested for a stay from december 10th to march or April. Do you think it's possible ? How much is the rent for one month ? And near which station is the house ?Can I visit it ?Thank you very muchCélineEnvoyé de mon iPhone",1,,1,,,,,,
"Hi. I'd like to ask if available pa ang unit for rent this October. If yes, that's 15k per month right? What are the other dues? Inclusive of electric bills na ba to? Thank you. Please contact me at +-- ---- ----",,1,,,,,,,
"hi I'm simon from London, I will be arriving in Sydney on the 20th November. I am looking for accommodation while i look for a permanent place. I am emigrating with my family who will be joining me in January. could you give me some prices of your lovely accommodation for 2 weeks.",1,,,,,,,,
Can I know one day rent how much the price? Can I have contact number easy for dealing each other?,,1,,,,,,,
